City1,City2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num,IATA1,IATA2,City1_Lat,City1_Lon,City2_Lat,City2_Lon
ADELAIDE,ALICE SPRINGS,1/01/1984,15743,143,81.8,1316,20717788,25327369,19246,1984,1,ADL,ASP,-34.945,138.530502,-23.806601,133.902206
ADELAIDE,BRISBANE,1/01/1984,3781,32,89.8,1622,6132782,6829379,4210,1984,1,ADL,BNE,-34.945,138.530502,-27.3841,153.117493
ADELAIDE,CANBERRA,1/01/1984,1339,12,94.7,972,1301508,1374348,1414,1984,1,ADL,CBR,-34.945,138.530502,-35.3069,149.195007
ADELAIDE,DARWIN,1/01/1984,3050,33,66.8,2619,7987950,11958009,4566,1984,1,ADL,DRW,-34.945,138.530502,-12.4147,130.876663
ADELAIDE,GOLD COAST,1/01/1984,1596,16,88.5,1607,2564772,2898047,1803,1984,1,ADL,OOL,-34.945,138.530502,-28.156067,153.502426
ADELAIDE,MELBOURNE,1/01/1984,50817,711,66.3,643,32675331,49284059,76647,1984,1,ADL,MEL,-34.945,138.530502,-37.673302,144.843307
ADELAIDE,PERTH,1/01/1984,18670,144,85.1,2120,39580400,46510458,21939,1984,1,ADL,PER,-34.945,138.530502,-31.940201,115.966904
ADELAIDE,SYDNEY,1/01/1984,37401,358,80.8,1167,43646967,54018524,46288,1984,1,ADL,SYD,-34.945,138.530502,-33.946098,151.1772
ALBURY,SYDNEY,1/01/1984,11478,296,79.8,452,5188056,6501323,14383,1984,1,ABX,SYD,-36.067699,146.957993,-33.946098,151.1772
ALICE SPRINGS,DARWIN,1/01/1984,9035,89,71.2,1305,11790675,16559937,12690,1984,1,ASP,DRW,-23.806601,133.902206,-12.4147,130.876663
ALICE SPRINGS,SYDNEY,1/01/1984,2896,31,75.8,2022,5855712,7725214,3821,1984,1,ASP,SYD,-23.806601,133.902206,-33.946098,151.1772
BRISBANE,CAIRNS,1/01/1984,1397,31,71.9,1391,1943227,2702680,1943,1984,1,BNE,CNS,-27.3841,153.117493,-16.885799,145.755203
BRISBANE,CANBERRA,1/01/1984,593,8,72.7,956,566908,779791,816,1984,1,BNE,CBR,-27.3841,153.117493,-35.3069,149.195007
BRISBANE,DARWIN,1/01/1984,2627,22,80.7,2852,7492204,9284020,3255,1984,1,BNE,DRW,-27.3841,153.117493,-12.4147,130.876663
BRISBANE,MACKAY,1/01/1984,192,15,48.2,797,153024,317477,398,1984,1,BNE,MKY,-27.3841,153.117493,-21.1716,149.179703
BRISBANE,MELBOURNE,1/01/1984,31791,324,84.4,1381,43903371,52018212,37667,1984,1,BNE,MEL,-27.3841,153.117493,-37.673302,144.843307
BRISBANE,PERTH,1/01/1984,566,4,88.2,3615,2046090,2319830,642,1984,1,BNE,PER,-27.3841,153.117493,-31.940201,115.966904
BRISBANE,PROSERPINE,1/01/1984,7432,92,76.1,895,6651640,8740657,9766,1984,1,BNE,PPP,-27.3841,153.117493,-20.495001,148.5522
BRISBANE,ROCKHAMPTON,1/01/1984,21633,287,77.2,518,11205894,14515407,28022,1984,1,BNE,ROK,-27.3841,153.117493,-23.381901,150.475204
BRISBANE,SYDNEY,1/01/1984,95027,990,73.7,753,71555331,97090001,128938,1984,1,BNE,SYD,-27.3841,153.117493,-33.946098,151.1772
BRISBANE,TOWNSVILLE,1/01/1984,35580,376,82,1112,39564960,48249951,43390,1984,1,BNE,TSV,-27.3841,153.117493,-19.252501,146.765198
BROOME,PERTH,1/01/1984,573,12,72.5,1677,960921,1325408,790,1984,1,BME,PER,-17.9447,122.231598,-31.940201,115.966904
CANBERRA,MELBOURNE,1/01/1984,21763,323,60.5,470,10228610,16906793,35972,1984,1,CBR,MEL,-35.3069,149.195007,-37.673302,144.843307
CANBERRA,SYDNEY,1/01/1984,32529,562,56.4,236,7676844,13611426,57676,1984,1,CBR,SYD,-35.3069,149.195007,-33.946098,151.1772
COFFS HARBOUR,SYDNEY,1/01/1984,6731,166,79.8,443,2981833,3736633,8435,1984,1,CFS,SYD,-30.320499,153.116302,-33.946098,151.1772
DARWIN,SYDNEY,1/01/1984,779,9,56.4,3155,2457745,4357704,1381,1984,1,DRW,SYD,-12.4147,130.876663,-33.946098,151.1772
DEVONPORT,MELBOURNE,1/01/1984,13300,380,72.5,412,5479600,7558069,18345,1984,1,DPO,MEL,-41.169724,146.430283,-37.673302,144.843307
DUBBO,SYDNEY,1/01/1984,4708,136,64.1,310,1459480,2276880,7345,1984,1,DBO,SYD,-32.216599,148.574707,-33.946098,151.1772
GOLD COAST,SYDNEY,1/01/1984,42814,454,81.9,680,29113520,35547643,52276,1984,1,OOL,SYD,-28.156067,153.502426,-33.946098,151.1772
HOBART,MELBOURNE,1/01/1984,35293,440,76.1,618,21811074,28661070,46377,1984,1,HBA,MEL,-42.836102,147.510193,-37.673302,144.843307
KALGOORLIE,PERTH,1/01/1984,3551,110,51.4,538,1910438,3716805,6909,1984,1,KGI,PER,-30.7894,121.461601,-31.940201,115.966904
KARRATHA,PERTH,1/01/1984,7609,148,75.5,1250,9511250,12597682,10078,1984,1,KTA,PER,-20.7122,116.7733,-31.940201,115.966904
LAUNCESTON,MELBOURNE,1/01/1984,44088,647,74.6,476,20985888,28131217,59099,1984,1,LST,MEL,-41.5452,147.214096,-37.673302,144.843307
MELBOURNE,BURNIE,1/01/1984,9564,342,64.7,378,3615192,5587623,14782,1984,1,MEL,BWT,-37.673302,144.843307,-40.99889,145.73111
MELBOURNE,GOLD COAST,1/01/1984,20182,159,84.9,1330,26842060,31616090,23771,1984,1,MEL,OOL,-37.673302,144.843307,-28.156067,153.502426
MELBOURNE,MILDURA,1/01/1984,1898,126,42.3,457,867386,2050558,4487,1984,1,MEL,MQL,-37.673302,144.843307,-34.229099,142.085495
MELBOURNE,NEWCASTLE,1/01/1984,577,16,37.2,836,482372,1296699,1551,1984,1,MEL,NTL,-37.673302,144.843307,-32.794998,151.834396
MELBOURNE,PERTH,1/01/1984,33753,295,82.7,2706,91335618,110442102,40814,1984,1,MEL,PER,-37.673302,144.843307,-31.940201,115.966904
MELBOURNE,SYDNEY,1/01/1984,132682,1368,66.5,706,93673492,140862394,199522,1984,1,MEL,SYD,-37.673302,144.843307,-33.946098,151.1772
PERTH,SYDNEY,1/01/1984,22569,163,85,3284,74116596,87195995,26552,1984,1,PER,SYD,-31.940201,115.966904,-33.946098,151.1772
SUNSHINE COAST,SYDNEY,1/01/1984,4818,144,65.3,837,4032666,6175599,7378,1984,1,MCY,SYD,-26.6033,153.091095,-33.946098,151.1772
SYDNEY,TOWNSVILLE,1/01/1984,4262,50,88.4,1690,7202780,8147941,4821,1984,1,SYD,TSV,-33.946098,151.1772,-19.252501,146.765198
SYDNEY,WAGGA WAGGA,1/01/1984,3843,139,56.5,367,1410381,2496250,6802,1984,1,SYD,WGA,-33.946098,151.1772,-35.165199,147.466293
ADELAIDE,ALICE SPRINGS,1/02/1984,9863,91,78.4,1316,12979708,16555750,12580,1984,2,ADL,ASP,-34.945,138.530502,-23.806601,133.902206
ADELAIDE,BRISBANE,1/02/1984,2302,31,64.2,1622,3733844,5815956,3586,1984,2,ADL,BNE,-34.945,138.530502,-27.3841,153.117493
ADELAIDE,CANBERRA,1/02/1984,1018,12,73.7,972,989496,1342600,1381,1984,2,ADL,CBR,-34.945,138.530502,-35.3069,149.195007
ADELAIDE,DARWIN,1/02/1984,671,8,58.2,2619,1757349,3019500,1153,1984,2,ADL,DRW,-34.945,138.530502,-12.4147,130.876663
ADELAIDE,GOLD COAST,1/02/1984,825,12,66.7,1607,1325775,1987669,1237,1984,2,ADL,OOL,-34.945,138.530502,-28.156067,153.502426
ADELAIDE,MELBOURNE,1/02/1984,50605,598,68.7,643,32539015,47363923,73661,1984,2,ADL,MEL,-34.945,138.530502,-37.673302,144.843307
ADELAIDE,PERTH,1/02/1984,14556,121,81.5,2120,30858720,37863460,17860,1984,2,ADL,PER,-34.945,138.530502,-31.940201,115.966904
ADELAIDE,SYDNEY,1/02/1984,29680,298,76.7,1167,34636560,45158488,38696,1984,2,ADL,SYD,-34.945,138.530502,-33.946098,151.1772
ALBURY,SYDNEY,1/02/1984,9590,276,68.2,452,4334680,6355836,14062,1984,2,ABX,SYD,-36.067699,146.957993,-33.946098,151.1772
ALICE SPRINGS,DARWIN,1/02/1984,6407,66,67.4,1305,8361135,12405245,9506,1984,2,ASP,DRW,-23.806601,133.902206,-12.4147,130.876663
ALICE SPRINGS,SYDNEY,1/02/1984,2136,26,67.9,2022,4318992,6360813,3146,1984,2,ASP,SYD,-23.806601,133.902206,-33.946098,151.1772
BRISBANE,CAIRNS,1/02/1984,106,19,54.6,1391,147446,270048,194,1984,2,BNE,CNS,-27.3841,153.117493,-16.885799,145.755203
BRISBANE,CANBERRA,1/02/1984,79,2,38.7,956,75524,195152,204,1984,2,BNE,CBR,-27.3841,153.117493,-35.3069,149.195007
BRISBANE,MACKAY,1/02/1984,0,1,0,797,0,0,0,1984,2,BNE,MKY,-27.3841,153.117493,-21.1716,149.179703
BRISBANE,MELBOURNE,1/02/1984,18053,222,71.3,1381,24931193,34966610,25320,1984,2,BNE,MEL,-27.3841,153.117493,-37.673302,144.843307
BRISBANE,PERTH,1/02/1984,332,4,57.6,3615,1200180,2083646,576,1984,2,BNE,PER,-27.3841,153.117493,-31.940201,115.966904
BRISBANE,PROSERPINE,1/02/1984,3864,66,59.7,895,3458280,5792764,6472,1984,2,BNE,PPP,-27.3841,153.117493,-20.495001,148.5522
BRISBANE,ROCKHAMPTON,1/02/1984,17876,256,72.8,518,9259768,12719462,24555,1984,2,BNE,ROK,-27.3841,153.117493,-23.381901,150.475204
BRISBANE,SYDNEY,1/02/1984,84001,871,70.1,753,63252753,90232173,119830,1984,2,BNE,SYD,-27.3841,153.117493,-33.946098,151.1772
BRISBANE,TOWNSVILLE,1/02/1984,26167,326,77.4,1112,29097704,37593933,33807,1984,2,BNE,TSV,-27.3841,153.117493,-19.252501,146.765198
BROOME,PERTH,1/02/1984,814,17,69.3,1677,1365078,1969810,1175,1984,2,BME,PER,-17.9447,122.231598,-31.940201,115.966904
CANBERRA,MELBOURNE,1/02/1984,27564,334,66.9,470,12955080,19364843,41202,1984,2,CBR,MEL,-35.3069,149.195007,-37.673302,144.843307
CANBERRA,SYDNEY,1/02/1984,39283,583,61.5,236,9270788,15074452,63875,1984,2,CBR,SYD,-35.3069,149.195007,-33.946098,151.1772
COFFS HARBOUR,SYDNEY,1/02/1984,5139,143,69.1,443,2276577,3294612,7437,1984,2,CFS,SYD,-30.320499,153.116302,-33.946098,151.1772
DEVONPORT,MELBOURNE,1/02/1984,5907,233,52,412,2433684,4680162,11360,1984,2,DPO,MEL,-41.169724,146.430283,-37.673302,144.843307
DUBBO,SYDNEY,1/02/1984,4622,129,65.3,310,1432820,2194211,7078,1984,2,DBO,SYD,-32.216599,148.574707,-33.946098,151.1772
GOLD COAST,SYDNEY,1/02/1984,28076,351,72.5,680,19091680,26333352,38726,1984,2,OOL,SYD,-28.156067,153.502426,-33.946098,151.1772
HOBART,MELBOURNE,1/02/1984,22441,321,72.7,618,13868538,19076393,30868,1984,2,HBA,MEL,-42.836102,147.510193,-37.673302,144.843307
KALGOORLIE,PERTH,1/02/1984,4559,112,65.1,538,2452742,3767653,7003,1984,2,KGI,PER,-30.7894,121.461601,-31.940201,115.966904
KARRATHA,PERTH,1/02/1984,6786,127,78.7,1250,8482500,10778272,8623,1984,2,KTA,PER,-20.7122,116.7733,-31.940201,115.966904
LAUNCESTON,MELBOURNE,1/02/1984,26872,533,72.3,476,12791072,17691663,37167,1984,2,LST,MEL,-41.5452,147.214096,-37.673302,144.843307
MELBOURNE,BURNIE,1/02/1984,5925,248,55.6,378,2239650,4028147,10656,1984,2,MEL,BWT,-37.673302,144.843307,-40.99889,145.73111
MELBOURNE,GOLD COAST,1/02/1984,4281,46,78.8,1330,5693730,7225546,5433,1984,2,MEL,OOL,-37.673302,144.843307,-28.156067,153.502426
MELBOURNE,MILDURA,1/02/1984,2452,131,52.6,457,1120564,2130350,4662,1984,2,MEL,MQL,-37.673302,144.843307,-34.229099,142.085495
MELBOURNE,NEWCASTLE,1/02/1984,301,12,25.9,836,251636,971568,1162,1984,2,MEL,NTL,-37.673302,144.843307,-32.794998,151.834396
MELBOURNE,PERTH,1/02/1984,21775,249,77.4,2706,58923150,76128101,28133,1984,2,MEL,PER,-37.673302,144.843307,-31.940201,115.966904
MELBOURNE,SYDNEY,1/02/1984,153549,1311,73.2,706,108405594,148095074,209766,1984,2,MEL,SYD,-37.673302,144.843307,-33.946098,151.1772
PERTH,SYDNEY,1/02/1984,13431,114,78.1,3284,44107404,56475549,17197,1984,2,PER,SYD,-31.940201,115.966904,-33.946098,151.1772
SUNSHINE COAST,SYDNEY,1/02/1984,2780,98,54.9,837,2326860,4238361,5064,1984,2,MCY,SYD,-26.6033,153.091095,-33.946098,151.1772
SYDNEY,TOWNSVILLE,1/02/1984,1306,17,72.2,1690,2207140,3056981,1809,1984,2,SYD,TSV,-33.946098,151.1772,-19.252501,146.765198
SYDNEY,WAGGA WAGGA,1/02/1984,4295,149,56,367,1576265,2814759,7670,1984,2,SYD,WGA,-33.946098,151.1772,-35.165199,147.466293
ADELAIDE,ALICE SPRINGS,1/03/1984,11142,118,71.4,1316,14662872,20536235,15605,1984,3,ADL,ASP,-34.945,138.530502,-23.806601,133.902206
ADELAIDE,BRISBANE,1/03/1984,2731,38,62.3,1622,4429682,7110244,4384,1984,3,ADL,BNE,-34.945,138.530502,-27.3841,153.117493
ADELAIDE,CANBERRA,1/03/1984,1218,13,86.3,972,1183896,1371838,1411,1984,3,ADL,CBR,-34.945,138.530502,-35.3069,149.195007
ADELAIDE,DARWIN,1/03/1984,1284,19,53.5,2619,3362796,6285600,2400,1984,3,ADL,DRW,-34.945,138.530502,-12.4147,130.876663
ADELAIDE,GOLD COAST,1/03/1984,1141,19,55.2,1607,1833587,3321716,2067,1984,3,ADL,OOL,-34.945,138.530502,-28.156067,153.502426
ADELAIDE,MELBOURNE,1/03/1984,56871,677,70.2,643,36568053,52091244,81013,1984,3,ADL,MEL,-34.945,138.530502,-37.673302,144.843307
ADELAIDE,PERTH,1/03/1984,15013,129,80.1,2120,31827560,39734782,18743,1984,3,ADL,PER,-34.945,138.530502,-31.940201,115.966904
ADELAIDE,SYDNEY,1/03/1984,35481,368,75.2,1167,41406327,55061605,47182,1984,3,ADL,SYD,-34.945,138.530502,-33.946098,151.1772
ALBURY,SYDNEY,1/03/1984,10462,294,70.5,452,4728824,6707552,14840,1984,3,ABX,SYD,-36.067699,146.957993,-33.946098,151.1772
ALICE SPRINGS,DARWIN,1/03/1984,6842,71,67.5,1305,8928810,13227867,10136,1984,3,ASP,DRW,-23.806601,133.902206,-12.4147,130.876663
ALICE SPRINGS,SYDNEY,1/03/1984,2116,29,64.1,2022,4278552,6674808,3301,1984,3,ASP,SYD,-23.806601,133.902206,-33.946098,151.1772
BRISBANE,CAIRNS,1/03/1984,498,32,48.9,1391,692718,1416601,1018,1984,3,BNE,CNS,-27.3841,153.117493,-16.885799,145.755203
BRISBANE,CANBERRA,1/03/1984,623,10,52.9,956,595588,1125875,1178,1984,3,BNE,CBR,-27.3841,153.117493,-35.3069,149.195007
BRISBANE,MACKAY,1/03/1984,280,6,48.8,797,223160,457295,574,1984,3,BNE,MKY,-27.3841,153.117493,-21.1716,149.179703
BRISBANE,MELBOURNE,1/03/1984,21798,281,69.6,1381,30103038,43251491,31319,1984,3,BNE,MEL,-27.3841,153.117493,-37.673302,144.843307
BRISBANE,PERTH,1/03/1984,467,5,64.9,3615,1688205,2601240,720,1984,3,BNE,PER,-27.3841,153.117493,-31.940201,115.966904
BRISBANE,PROSERPINE,1/03/1984,5248,73,71.5,895,4696960,6569175,7340,1984,3,BNE,PPP,-27.3841,153.117493,-20.495001,148.5522
BRISBANE,ROCKHAMPTON,1/03/1984,21016,278,77.9,518,10886288,13974696,26978,1984,3,BNE,ROK,-27.3841,153.117493,-23.381901,150.475204
BRISBANE,SYDNEY,1/03/1984,92267,943,71.1,753,69477051,97717371,129771,1984,3,BNE,SYD,-27.3841,153.117493,-33.946098,151.1772
BRISBANE,TOWNSVILLE,1/03/1984,30817,367,80.2,1112,34268504,42728808,38425,1984,3,BNE,TSV,-27.3841,153.117493,-19.252501,146.765198
BROOME,PERTH,1/03/1984,311,7,67.3,1677,521547,774958,462,1984,3,BME,PER,-17.9447,122.231598,-31.940201,115.966904
CAIRNS,SYDNEY,1/03/1984,77,1,75.5,1971,151767,201016,102,1984,3,CNS,SYD,-16.885799,145.755203,-33.946098,151.1772
CANBERRA,MELBOURNE,1/03/1984,31024,390,64,470,14581280,22783250,48475,1984,3,CBR,MEL,-35.3069,149.195007,-37.673302,144.843307
CANBERRA,SYDNEY,1/03/1984,45423,650,63.8,236,10719828,16802238,71196,1984,3,CBR,SYD,-35.3069,149.195007,-33.946098,151.1772
COFFS HARBOUR,SYDNEY,1/03/1984,5022,133,73,443,2224746,3047597,6879,1984,3,CFS,SYD,-30.320499,153.116302,-33.946098,151.1772
DEVONPORT,MELBOURNE,1/03/1984,6190,242,52.4,412,2550280,4866947,11813,1984,3,DPO,MEL,-41.169724,146.430283,-37.673302,144.843307
DUBBO,SYDNEY,1/03/1984,4574,124,67.4,310,1417940,2103769,6786,1984,3,DBO,SYD,-32.216599,148.574707,-33.946098,151.1772
GOLD COAST,SYDNEY,1/03/1984,29516,369,72.5,680,20070880,27683972,40712,1984,3,OOL,SYD,-28.156067,153.502426,-33.946098,151.1772
HOBART,MELBOURNE,1/03/1984,23966,379,66.1,618,14810988,22406941,36257,1984,3,HBA,MEL,-42.836102,147.510193,-37.673302,144.843307
KALGOORLIE,PERTH,1/03/1984,6037,232,59,538,3247906,5504925,10232,1984,3,KGI,PER,-30.7894,121.461601,-31.940201,115.966904
KARRATHA,PERTH,1/03/1984,8047,153,78,1250,10058750,12895833,10317,1984,3,KTA,PER,-20.7122,116.7733,-31.940201,115.966904
LAUNCESTON,MELBOURNE,1/03/1984,34447,581,72.7,476,16396772,22554019,47382,1984,3,LST,MEL,-41.5452,147.214096,-37.673302,144.843307
MELBOURNE,BURNIE,1/03/1984,5952,266,52.3,378,2249856,4301828,11380,1984,3,MEL,BWT,-37.673302,144.843307,-40.99889,145.73111
MELBOURNE,GOLD COAST,1/03/1984,5894,68,71.7,1330,7839020,10933082,8220,1984,3,MEL,OOL,-37.673302,144.843307,-28.156067,153.502426
MELBOURNE,MILDURA,1/03/1984,3309,253,45.6,457,1512213,3316257,7257,1984,3,MEL,MQL,-37.673302,144.843307,-34.229099,142.085495
MELBOURNE,NEWCASTLE,1/03/1984,81,2,44,836,67716,153900,184,1984,3,MEL,NTL,-37.673302,144.843307,-32.794998,151.834396
MELBOURNE,PERTH,1/03/1984,23104,265,77.8,2706,62519424,80359157,29697,1984,3,MEL,PER,-37.673302,144.843307,-31.940201,115.966904
MELBOURNE,SYDNEY,1/03/1984,166780,1461,72.3,706,117746680,162858479,230678,1984,3,MEL,SYD,-37.673302,144.843307,-33.946098,151.1772
PERTH,SYDNEY,1/03/1984,13765,122,76.4,3284,45204260,59167880,18017,1984,3,PER,SYD,-31.940201,115.966904,-33.946098,151.1772
SUNSHINE COAST,SYDNEY,1/03/1984,3178,98,63.2,837,2659986,4208839,5028,1984,3,MCY,SYD,-26.6033,153.091095,-33.946098,151.1772
SYDNEY,TOWNSVILLE,1/03/1984,1041,13,81.6,1690,1759290,2155993,1276,1984,3,SYD,TSV,-33.946098,151.1772,-19.252501,146.765198
SYDNEY,WAGGA WAGGA,1/03/1984,4732,148,61.5,367,1736644,2823811,7694,1984,3,SYD,WGA,-33.946098,151.1772,-35.165199,147.466293
ADELAIDE,ALICE SPRINGS,1/04/1984,12809,123,77.9,1316,16856644,21638824,16443,1984,4,ADL,ASP,-34.945,138.530502,-23.806601,133.902206
ADELAIDE,BRISBANE,1/04/1984,3198,36,72.8,1622,5187156,7125214,4393,1984,4,ADL,BNE,-34.945,138.530502,-27.3841,153.117493
ADELAIDE,CANBERRA,1/04/1984,1223,14,76.5,972,1188756,1553929,1599,1984,4,ADL,CBR,-34.945,138.530502,-35.3069,149.195007
ADELAIDE,DARWIN,1/04/1984,1186,16,57.8,2619,3106134,5373934,2052,1984,4,ADL,DRW,-34.945,138.530502,-12.4147,130.876663
ADELAIDE,GOLD COAST,1/04/1984,833,15,56.7,1607,1338631,2360901,1469,1984,4,ADL,OOL,-34.945,138.530502,-28.156067,153.502426
ADELAIDE,MELBOURNE,1/04/1984,53639,633,71.7,643,34489877,48103036,74810,1984,4,ADL,MEL,-34.945,138.530502,-37.673302,144.843307
ADELAIDE,PERTH,1/04/1984,15758,134,80.9,2120,33406960,41294141,19478,1984,4,ADL,PER,-34.945,138.530502,-31.940201,115.966904
ADELAIDE,SYDNEY,1/04/1984,34894,358,76.4,1167,40721298,53300128,45673,1984,4,ADL,SYD,-34.945,138.530502,-33.946098,151.1772
ALBURY,SYDNEY,1/04/1984,9366,243,77.2,452,4233432,5483720,12132,1984,4,ABX,SYD,-36.067699,146.957993,-33.946098,151.1772
ALICE SPRINGS,DARWIN,1/04/1984,7473,73,71.1,1305,9752265,13716266,10511,1984,4,ASP,DRW,-23.806601,133.902206,-12.4147,130.876663
ALICE SPRINGS,SYDNEY,1/04/1984,2272,25,77.7,2022,4593984,5912463,2924,1984,4,ASP,SYD,-23.806601,133.902206,-33.946098,151.1772
BRISBANE,CAIRNS,1/04/1984,3757,61,79,1391,5225987,6615173,4756,1984,4,BNE,CNS,-27.3841,153.117493,-16.885799,145.755203
BRISBANE,CANBERRA,1/04/1984,396,7,56.3,956,378576,672426,703,1984,4,BNE,CBR,-27.3841,153.117493,-35.3069,149.195007
BRISBANE,DARWIN,1/04/1984,1449,13,77.4,2852,4132548,5339209,1872,1984,4,BNE,DRW,-27.3841,153.117493,-12.4147,130.876663
BRISBANE,MACKAY,1/04/1984,1274,22,63.4,797,1015378,1601543,2009,1984,4,BNE,MKY,-27.3841,153.117493,-21.1716,149.179703
BRISBANE,MELBOURNE,1/04/1984,27681,292,80.1,1381,38227461,47724670,34558,1984,4,BNE,MEL,-27.3841,153.117493,-37.673302,144.843307
BRISBANE,PERTH,1/04/1984,535,5,74.3,3615,1934025,2602995,720,1984,4,BNE,PER,-27.3841,153.117493,-31.940201,115.966904
BRISBANE,PROSERPINE,1/04/1984,7099,81,80.6,895,6353605,7882885,8808,1984,4,BNE,PPP,-27.3841,153.117493,-20.495001,148.5522
BRISBANE,ROCKHAMPTON,1/04/1984,20854,277,77.3,518,10802372,13974608,26978,1984,4,BNE,ROK,-27.3841,153.117493,-23.381901,150.475204
BRISBANE,SYDNEY,1/04/1984,101132,943,74.8,753,76152396,101808016,135203,1984,4,BNE,SYD,-27.3841,153.117493,-33.946098,151.1772
BRISBANE,TOWNSVILLE,1/04/1984,36569,366,87.3,1112,40664728,46580444,41889,1984,4,BNE,TSV,-27.3841,153.117493,-19.252501,146.765198
BROOME,PERTH,1/04/1984,399,10,58.3,1677,669123,1147724,684,1984,4,BME,PER,-17.9447,122.231598,-31.940201,115.966904
CAIRNS,SYDNEY,1/04/1984,19,1,18.6,1971,37449,201339,102,1984,4,CNS,SYD,-16.885799,145.755203,-33.946098,151.1772
CANBERRA,MELBOURNE,1/04/1984,28168,358,66.3,470,13238960,19968265,42486,1984,4,CBR,MEL,-35.3069,149.195007,-37.673302,144.843307
CANBERRA,SYDNEY,1/04/1984,39736,575,63.9,236,9377696,14675581,62185,1984,4,CBR,SYD,-35.3069,149.195007,-33.946098,151.1772
COFFS HARBOUR,SYDNEY,1/04/1984,6204,164,72.9,443,2748372,3770058,8510,1984,4,CFS,SYD,-30.320499,153.116302,-33.946098,151.1772
DARWIN,SYDNEY,1/04/1984,76,1,52.8,3155,239780,454129,144,1984,4,DRW,SYD,-12.4147,130.876663,-33.946098,151.1772
DEVONPORT,MELBOURNE,1/04/1984,7688,292,57.1,412,3167456,5547208,13464,1984,4,DPO,MEL,-41.169724,146.430283,-37.673302,144.843307
DUBBO,SYDNEY,1/04/1984,5122,134,71.5,310,1587820,2220727,7164,1984,4,DBO,SYD,-32.216599,148.574707,-33.946098,151.1772
GOLD COAST,SYDNEY,1/04/1984,36758,426,72.4,680,24995440,34524088,50771,1984,4,OOL,SYD,-28.156067,153.502426,-33.946098,151.1772
HOBART,MELBOURNE,1/04/1984,29858,401,71.8,618,18452244,25699504,41585,1984,4,HBA,MEL,-42.836102,147.510193,-37.673302,144.843307
KALGOORLIE,PERTH,1/04/1984,5079,229,59.4,538,2732502,4600172,8551,1984,4,KGI,PER,-30.7894,121.461601,-31.940201,115.966904
KARRATHA,PERTH,1/04/1984,7578,139,80.7,1250,9472500,11737918,9390,1984,4,KTA,PER,-20.7122,116.7733,-31.940201,115.966904
LAUNCESTON,MELBOURNE,1/04/1984,34177,592,70.9,476,16268252,22945348,48205,1984,4,LST,MEL,-41.5452,147.214096,-37.673302,144.843307
MELBOURNE,BURNIE,1/04/1984,7334,266,65.5,378,2772252,4232446,11197,1984,4,MEL,BWT,-37.673302,144.843307,-40.99889,145.73111
MELBOURNE,GOLD COAST,1/04/1984,13765,148,73.8,1330,18307450,24806843,18652,1984,4,MEL,OOL,-37.673302,144.843307,-28.156067,153.502426
MELBOURNE,MILDURA,1/04/1984,2405,242,38,457,1099085,2892329,6329,1984,4,MEL,MQL,-37.673302,144.843307,-34.229099,142.085495
MELBOURNE,PERTH,1/04/1984,23931,222,79.3,2706,64757286,81661142,30178,1984,4,MEL,PER,-37.673302,144.843307,-31.940201,115.966904
MELBOURNE,SYDNEY,1/04/1984,153105,1355,73.4,706,108092130,147264482,208590,1984,4,MEL,SYD,-37.673302,144.843307,-33.946098,151.1772
PERTH,SYDNEY,1/04/1984,14839,128,78.4,3284,48731276,62157240,18927,1984,4,PER,SYD,-31.940201,115.966904,-33.946098,151.1772
SUNSHINE COAST,SYDNEY,1/04/1984,4423,111,68.1,837,3702051,5436198,6495,1984,4,MCY,SYD,-26.6033,153.091095,-33.946098,151.1772
SYDNEY,TOWNSVILLE,1/04/1984,1680,18,95.1,1690,2839200,2985489,1767,1984,4,SYD,TSV,-33.946098,151.1772,-19.252501,146.765198
SYDNEY,WAGGA WAGGA,1/04/1984,5035,143,67.7,367,1847845,2729461,7437,1984,4,SYD,WGA,-33.946098,151.1772,-35.165199,147.466293
ADELAIDE,ALICE SPRINGS,1/05/1984,14490,135,77.2,1316,19068840,24700570,18769,1984,5,ADL,ASP,-34.945,138.530502,-23.806601,133.902206
ADELAIDE,BRISBANE,1/05/1984,3378,34,76.6,1622,5479116,7152893,4410,1984,5,ADL,BNE,-34.945,138.530502,-27.3841,153.117493
ADELAIDE,CANBERRA,1/05/1984,1347,13,86.5,972,1309284,1513623,1557,1984,5,ADL,CBR,-34.945,138.530502,-35.3069,149.195007
ADELAIDE,DARWIN,1/05/1984,2790,32,66.6,2619,7307010,10971486,4189,1984,5,ADL,DRW,-34.945,138.530502,-12.4147,130.876663
ADELAIDE,GOLD COAST,1/05/1984,1258,14,70,1607,2021606,2888009,1797,1984,5,ADL,OOL,-34.945,138.530502,-28.156067,153.502426
ADELAIDE,MELBOURNE,1/05/1984,60701,714,71.6,643,39030743,54512211,84778,1984,5,ADL,MEL,-34.945,138.530502,-37.673302,144.843307
ADELAIDE,PERTH,1/05/1984,16186,140,79.4,2120,34314320,43217028,20385,1984,5,ADL,PER,-34.945,138.530502,-31.940201,115.966904
ADELAIDE,SYDNEY,1/05/1984,39198,380,79.1,1167,45744066,57830678,49555,1984,5,ADL,SYD,-34.945,138.530502,-33.946098,151.1772
