Year,Australian,Airline,InFlights,OutFlights,InSeats,OutSeats,Total Flights
2004,Norfolk Island,Air New Zealand,9,9,1224,1224,18.00
2004,Perth,Air Mauritius,4,4,724,724,8.00
2004,Perth,Air New Zealand,22,22,5060,5064,44.00
2004,Perth,Air Paradise International,21,21,3858,3858,42.00
2004,Perth,Cathay Pacific Airways,13,13,4043,4043,26.00
2004,Perth,Emirates,30,30,9000,9000,60.00
2004,Perth,Garuda Indonesia,30,30,5902,5902,60.00
2004,Perth,Malaysia Airlines,47,48,13658,13950,95.00
2004,Perth,Qantas Airways,96,95,24711,24533,191.00
2004,Perth,Royal Brunei Airlines,14,13,2496,2322,27.00
2004,Perth,Singapore Airlines,62,62,20035,20035,124.00
2004,Perth,South African Airways,22,22,5192,5295,44.00
2004,Perth,Thai Airways International,17,17,5185,5185,34.00
2004,Sydney,Aerolineas Argentinas,11,11,2717,2717,22.00
2004,Sydney,Air Caledonie,18,18,3253,3253,36.00
2004,Sydney,Air Canada,32,32,8605,8590,64.00
2004,Sydney,Air China,31,31,9331,9331,62.00
2004,Sydney,Air Mauritius,1,1,294,294,2.00
2004,Sydney,Air New Zealand,285,285,45412,45418,570.00
2004,Sydney,Air Niugini,8,9,1840,2070,17.00
2004,Sydney,Fiji Airways,40,40,15512,15512,80.00
2004,Sydney,Air Paradise International,17,17,4615,4615,34.00
2004,Sydney,Air Vanuatu,22,22,2772,2772,44.00
2004,Sydney,Asiana Airlines,31,31,9610,9610,62.00
2004,Sydney,Australian Airlines,55,54,14393,14104,109.00
2004,Sydney,British Airways,62,62,23062,23062,124.00
2004,Sydney,Cathay Pacific Airways,62,62,16377,16377,124.00
2004,Sydney,China Airlines,18,18,4770,4770,36.00
2004,Sydney,China Eastern Airlines,31,31,8897,8897,62.00
2004,Sydney,China Southern Airlines,13,13,3731,3731,26.00
2004,Sydney,Emirates,59,59,15222,15222,118.00
2004,Sydney,Eva Air,9,9,1954,1954,18.00
2004,Sydney,Freedom Air International,33,33,4489,4686,66.00
2004,Sydney,Garuda Indonesia,17,17,4981,4981,34.00
2004,Sydney,Gulf Air,31,31,8215,8215,62.00
2004,Sydney,Japan Airlines,62,62,27558,27411,124.00
2004,Sydney,Korean Air,31,31,11873,11873,62.00
2004,Sydney,LATAM Airlines,14,14,3626,3626,28.00
2004,Sydney,Lauda Air,23,23,7912,7912,46.00
2004,Sydney,Malaysia Airlines,49,49,16841,16844,98.00
2004,Sydney,Philippine Airlines,13,13,3926,3926,26.00
2004,Sydney,Polynesian Airlines,6,7,924,1078,13.00
2004,Sydney,Qantas Airways,717,709,213323,210355,1426.00
2004,Sydney,Royal Tongan Airlines,6,6,996,996,12.00
2004,Sydney,Singapore Airlines,93,93,33714,33714,186.00
2004,Sydney,Thai Airways International,93,92,37665,37260,185.00
2004,Sydney,United Airlines,62,62,21514,21514,124.00
2004,Sydney,Vietnam Airlines,18,18,6084,6084,36.00
2004,Sydney,Virgin Australia,44,44,7920,7920,88.00
2004,Adelaide,Air Paradise International,8,8,1464,1464,16.00
2004,Adelaide,Cathay Pacific Airways,9,9,2259,2259,18.00
2004,Adelaide,Garuda Indonesia,9,9,2637,2637,18.00
2004,Adelaide,Malaysia Airlines,17,17,4692,4695,34.00
2004,Adelaide,Qantas Airways,13,13,2951,2933,26.00
2004,Adelaide,Singapore Airlines,18,17,5814,5491,35.00
2004,Brisbane,Air Caledonie,8,8,1168,1168,16.00
2004,Brisbane,Air New Zealand,53,53,14968,14733,106.00
2004,Brisbane,Air Niugini,25,25,5750,5750,50.00
2004,Brisbane,Fiji Airways,28,28,4567,4567,56.00
2004,Brisbane,Air Vanuatu,13,14,1638,1764,27.00
2004,Brisbane,Cathay Pacific Airways,21,21,6531,6531,42.00
2004,Brisbane,China Airlines,9,9,2407,2407,18.00
2004,Brisbane,Emirates,60,60,22800,22800,120.00
2004,Brisbane,Eva Air,8,8,2016,2016,16.00
2004,Brisbane,Freedom Air International,109,109,14885,15478,218.00
2004,Brisbane,Garuda Indonesia,22,22,6446,6446,44.00
2004,Brisbane,Japan Airlines,60,60,27153,27233,120.00
2004,Brisbane,Korean Air,9,9,2655,2655,18.00
2004,Brisbane,Malaysia Airlines,21,21,5796,5775,42.00
2004,Brisbane,Nauru Airlines,9,8,1198,932,17.00
2004,Brisbane,Qantas Airways,157,154,46314,45485,311.00
2004,Brisbane,Royal Brunei Airlines,33,34,7350,7548,67.00
2004,Brisbane,Singapore Airlines,60,60,19380,19380,120.00
2004,Brisbane,Solomon Airlines,9,9,1224,1224,18.00
2004,Brisbane,Thai Airways International,30,30,8550,8550,60.00
2004,Brisbane,Virgin Australia,30,30,5400,5400,60.00
2004,Cairns,Air New Zealand,9,9,2718,2718,18.00
2004,Cairns,Air Niugini,43,42,2785,2721,85.00
2004,Cairns,Australian Airlines,106,106,28614,28614,212.00
2004,Cairns,Cathay Pacific Airways,17,17,5287,5287,34.00
2004,Cairns,Continental Micronesia,12,13,1848,2002,25.00
2004,Cairns,Qantas Airways,60,60,13761,13971,120.00
2004,Darwin,Australian Airlines,9,8,2419,2168,17.00
2004,Darwin,Garuda Indonesia,8,8,1056,1056,16.00
2004,Darwin,Merpati Nusantara Airlines,5,5,140,140,10.00
2004,Darwin,Qantas Airways,21,22,4077,4201,43.00
2004,Darwin,Royal Brunei Airlines,14,13,1708,1586,27.00
2004,Gold Coast,Australian Airlines,30,30,8074,8102,60.00
2004,Gold Coast,Freedom Air International,51,51,7171,7242,102.00
2004,Melbourne,Air China,18,18,5418,5418,36.00
2004,Melbourne,Air Mauritius,5,5,1470,1470,10.00
2004,Melbourne,Air New Zealand,149,149,22772,22802,298.00
2004,Melbourne,Fiji Airways,20,20,6430,6430,40.00
2004,Melbourne,Air Paradise International,17,17,4709,4709,34.00
2004,Melbourne,Australian Airlines,8,8,2168,2168,16.00
2004,Melbourne,British Airways,30,30,10530,10530,60.00
2004,Melbourne,Cathay Pacific Airways,55,55,13805,13805,110.00
2004,Melbourne,China Eastern Airlines,13,13,3766,3766,26.00
2004,Melbourne,China Southern Airlines,8,8,2296,2296,16.00
2004,Melbourne,Emirates,60,60,22184,22184,120.00
2004,Melbourne,Freedom Air International,24,24,3217,3408,48.00
2004,Melbourne,Garuda Indonesia,13,13,3809,3809,26.00
2004,Melbourne,Lauda Air,12,12,4128,4128,24.00
2004,Melbourne,Malaysia Airlines,60,60,19044,19014,120.00
2004,Melbourne,Philippine Airlines,13,13,3926,3926,26.00
2004,Melbourne,Qantas Airways,277,269,68161,65173,546.00
2004,Melbourne,Singapore Airlines,73,73,24962,24962,146.00
2004,Melbourne,Thai Airways International,47,47,16995,16995,94.00
2004,Melbourne,United Airlines,30,29,10410,10063,59.00
2004,Melbourne,Vietnam Airlines,11,11,3718,3718,22.00
2004,Melbourne,Virgin Australia,25,25,4500,4500,50.00
2004,Norfolk Island,Air New Zealand,9,9,1224,1224,18.00
2004,Perth,Air Mauritius,4,4,700,700,8.00
2004,Perth,Air New Zealand,17,17,3910,3910,34.00
2004,Perth,Air Paradise International,24,25,4392,4575,49.00
2004,Perth,Cathay Pacific Airways,13,13,4043,4043,26.00
2004,Perth,Emirates,30,30,8424,8424,60.00
2004,Perth,Garuda Indonesia,36,36,5075,5075,72.00
2004,Perth,Malaysia Airlines,38,38,13840,13842,76.00
2004,Perth,Qantas Airways,101,101,25947,25953,202.00
2004,Perth,Royal Brunei Airlines,13,13,2331,2382,26.00
2004,Perth,Singapore Airlines,60,60,19380,19380,120.00
2004,Perth,South African Airways,22,21,5192,4956,43.00
2004,Perth,Thai Airways International,17,17,5185,5185,34.00
2004,Sydney,Aerolineas Argentinas,8,8,1976,1976,16.00
2004,Sydney,Air Caledonie,18,18,3128,3128,36.00
2004,Sydney,Air Canada,30,30,6353,6323,60.00
2004,Sydney,Air China,30,30,9030,9030,60.00
2004,Sydney,Air Mauritius,5,5,1470,1470,10.00
2004,Sydney,Air New Zealand,261,259,41410,41064,520.00
2004,Sydney,Air Niugini,8,8,1840,1840,16.00
2004,Sydney,Fiji Airways,37,37,14746,14746,74.00
2004,Sydney,Air Paradise International,16,16,4432,4432,32.00
2004,Sydney,Air Vanuatu,21,21,2646,2646,42.00
2004,Sydney,Asiana Airlines,30,30,9300,9300,60.00
2004,Sydney,Australian Airlines,51,51,13816,13816,102.00
2004,Sydney,British Airways,60,60,22410,22410,120.00
2004,Sydney,Cathay Pacific Airways,60,60,15807,15807,120.00
2004,Sydney,China Airlines,17,17,4505,4505,34.00
2004,Sydney,China Eastern Airlines,28,28,8071,8071,56.00
2004,Sydney,China Southern Airlines,17,17,4879,4879,34.00
2004,Sydney,Emirates,56,56,14448,14448,112.00
2004,Sydney,Eva Air,9,9,1944,1944,18.00
2004,Sydney,Freedom Air International,27,27,3683,3834,54.00
2004,Sydney,Garuda Indonesia,16,16,4688,4688,32.00
2004,Sydney,Gulf Air,30,30,7950,7950,60.00
2004,Sydney,Hawaiian Airlines,17,17,4488,4488,34.00
2004,Sydney,Japan Airlines,60,60,27693,27467,120.00
2004,Sydney,Korean Air,30,30,11490,11490,60.00
2004,Sydney,LATAM Airlines,13,13,3367,3367,26.00
2004,Sydney,Lauda Air,24,24,8256,8256,48.00
2004,Sydney,Malaysia Airlines,51,51,17286,17286,102.00
2004,Sydney,Philippine Airlines,13,13,3926,3926,26.00
2004,Sydney,Polynesian Airlines,8,9,1232,1386,17.00
2004,Sydney,Qantas Airways,709,710,208967,208692,1419.00
2004,Sydney,Singapore Airlines,91,91,34118,34118,182.00
2004,Sydney,Thai Airways International,90,90,36450,36450,180.00
2004,Sydney,United Airlines,61,60,21167,20820,121.00
2004,Sydney,Vietnam Airlines,15,15,5070,5070,30.00
2004,Sydney,Virgin Australia,60,60,10800,10800,120.00
2004,Adelaide,Air Paradise International,9,9,2114,2114,18.00
2004,Adelaide,Cathay Pacific Airways,9,9,2259,2259,18.00
2004,Adelaide,Garuda Indonesia,8,8,2344,2344,16.00
2004,Adelaide,Malaysia Airlines,17,17,4726,4726,34.00
2004,Adelaide,Qantas Airways,15,13,3545,2945,28.00
2004,Adelaide,Singapore Airlines,17,18,5491,5814,35.00
2004,Brisbane,Air Caledonie,9,9,1314,1314,18.00
2004,Brisbane,Air New Zealand,77,77,21869,21908,154.00
2004,Brisbane,Air Niugini,25,27,5617,5944,52.00
2004,Brisbane,Fiji Airways,30,30,4948,4948,60.00
2004,Brisbane,Air Vanuatu,15,15,1918,1918,30.00
2004,Brisbane,Cathay Pacific Airways,22,22,6842,6842,44.00
2004,Brisbane,China Airlines,8,8,2131,2131,16.00
2004,Brisbane,Emirates,60,60,22800,22800,120.00
2004,Brisbane,Eva Air,9,9,2268,2268,18.00
2004,Brisbane,Freedom Air International,110,110,15085,15515,220.00
2004,Brisbane,Garuda Indonesia,22,21,6446,6153,43.00
2004,Brisbane,Japan Airlines,60,60,26752,26572,120.00
2004,Brisbane,Korean Air,13,13,3744,3744,26.00
2004,Brisbane,Malaysia Airlines,22,22,6116,6116,44.00
2004,Brisbane,Nauru Airlines,8,9,1062,1126,17.00
2004,Brisbane,Qantas Airways,175,176,49371,49780,351.00
2004,Brisbane,Royal Brunei Airlines,33,32,6894,6696,65.00
2004,Brisbane,Singapore Airlines,60,60,19380,19380,120.00
2004,Brisbane,Solomon Airlines,13,13,1768,1768,26.00
2004,Brisbane,Thai Airways International,31,31,8835,8835,62.00
2004,Brisbane,Virgin Australia,44,43,7920,7740,87.00
2004,Cairns,Air New Zealand,8,8,2488,2488,16.00
2004,Cairns,Air Niugini,38,38,3686,3686,76.00
2004,Cairns,Australian Airlines,107,108,28143,28410,215.00
2004,Cairns,Cathay Pacific Airways,18,18,5598,5598,36.00
2004,Cairns,Continental Micronesia,13,12,2002,1848,25.00
2004,Cairns,Qantas Airways,60,61,13740,14190,121.00
2004,Canberra,Fiji Airways,4,4,440,440,8.00
2004,Darwin,Australian Airlines,9,9,2389,2389,18.00
2004,Darwin,Garuda Indonesia,8,8,1056,1056,16.00
2004,Darwin,Merpati Nusantara Airlines,8,8,224,224,16.00
2004,Darwin,Qantas Airways,22,22,4247,4242,44.00
2004,Darwin,Royal Brunei Airlines,13,13,1608,1608,26.00
2004,Gold Coast,Australian Airlines,30,30,7702,7702,60.00
2004,Gold Coast,Freedom Air International,49,49,6846,6916,98.00
2004,Melbourne,Air China,17,17,5117,5117,34.00
2004,Melbourne,Air Mauritius,4,4,1176,1176,8.00
2004,Melbourne,Air New Zealand,170,170,26702,26757,340.00
2004,Melbourne,Fiji Airways,21,21,7032,7032,42.00
2004,Melbourne,Air Paradise International,14,14,3664,3664,28.00
2004,Melbourne,Australian Airlines,8,9,2168,2435,17.00
2004,Melbourne,British Airways,30,30,10530,10530,60.00
2004,Melbourne,Cathay Pacific Airways,60,60,15060,15060,120.00
2004,Melbourne,China Eastern Airlines,12,12,3514,3514,24.00
2004,Melbourne,China Southern Airlines,9,9,2583,2583,18.00
2004,Melbourne,Emirates,111,111,35342,35342,222.00
2004,Melbourne,Freedom Air International,25,25,3373,3526,50.00
2004,Melbourne,Garuda Indonesia,12,12,3516,3516,24.00
2004,Melbourne,Lauda Air,13,13,4472,4472,26.00
2004,Melbourne,Malaysia Airlines,60,60,19920,19812,120.00
2004,Melbourne,Philippine Airlines,13,13,3926,3926,26.00
2004,Melbourne,Qantas Airways,295,281,76862,72247,576.00
2004,Melbourne,Singapore Airlines,81,81,27274,27274,162.00
2004,Melbourne,Thai Airways International,47,47,16995,16995,94.00
2004,Melbourne,United Airlines,30,29,10410,10063,59.00
2004,Melbourne,Vietnam Airlines,13,13,4281,4281,26.00
2004,Melbourne,Virgin Australia,35,35,6300,6300,70.00
2004,Norfolk Island,Air New Zealand,9,9,1224,1224,18.00
2004,Norfolk Island,Norfolk Jet Express,8,8,608,608,16.00
2004,Perth,Air Mauritius,4,4,700,700,8.00
2004,Perth,Air New Zealand,17,17,3909,3934,34.00
2004,Perth,Air Paradise International,21,21,4037,4034,42.00
2004,Perth,Cathay Pacific Airways,13,13,4043,4043,26.00
2004,Perth,Emirates,30,30,7920,7920,60.00
2004,Perth,Garuda Indonesia,30,30,3990,3990,60.00
2004,Perth,Malaysia Airlines,39,38,14226,13932,77.00
2004,Perth,Qantas Airways,103,100,27084,26411,203.00
2004,Perth,Royal Brunei Airlines,13,13,2610,2610,26.00
2004,Perth,Singapore Airlines,60,60,19380,19380,120.00
2004,Perth,South African Airways,22,22,5646,5646,44.00
2004,Perth,Thai Airways International,17,17,5185,5185,34.00
2004,Sydney,Aerolineas Argentinas,9,9,2223,2223,18.00
2004,Sydney,Air Caledonie,18,18,3253,3253,36.00
2004,Sydney,Air Canada,30,30,6350,6326,60.00
2004,Sydney,Air China,30,30,9030,9030,60.00
2004,Sydney,Air Mauritius,4,4,1176,1176,8.00
2004,Sydney,Air New Zealand,260,260,41340,41273,520.00
2004,Sydney,Air Niugini,7,7,1610,1610,14.00
2004,Sydney,Fiji Airways,38,38,14840,14840,76.00
2004,Sydney,Air Paradise International,14,14,3834,3834,28.00
2004,Sydney,Air Vanuatu,26,26,3300,3280,52.00
2004,Sydney,Asiana Airlines,30,30,9300,9300,60.00
2004,Sydney,Australian Airlines,50,49,13322,12930,99.00
2004,Sydney,British Airways,60,60,22310,22310,120.00
2004,Sydney,Cathay Pacific Airways,60,60,15990,15990,120.00
2004,Sydney,China Airlines,18,18,4825,4825,36.00
2004,Sydney,China Eastern Airlines,30,30,8680,8680,60.00
2004,Sydney,China Southern Airlines,11,11,3157,3157,22.00
2004,Sydney,Emirates,60,60,15480,15480,120.00
2004,Sydney,Eva Air,8,8,1728,1728,16.00
2004,Sydney,Freedom Air International,27,27,3690,3828,54.00
2004,Sydney,Garuda Indonesia,17,17,5205,5205,34.00
2004,Sydney,Gulf Air,30,29,7950,7685,59.00
2004,Sydney,Hawaiian Airlines,17,17,4488,4488,34.00
2004,Sydney,Japan Airlines,60,60,26829,26648,120.00
2004,Sydney,Korean Air,30,30,11490,11490,60.00
2004,Sydney,LATAM Airlines,13,13,3367,3367,26.00
2004,Sydney,Lauda Air,26,26,8944,8944,52.00
2004,Sydney,Malaysia Airlines,52,52,17804,17804,104.00
2004,Sydney,Philippine Airlines,13,13,3926,3926,26.00
2004,Sydney,Polynesian Airlines,8,9,1232,1386,17.00
2004,Sydney,Qantas Airways,741,727,224654,219898,1468.00
2004,Sydney,Singapore Airlines,94,94,33524,33524,188.00
2004,Sydney,Thai Airways International,90,90,36450,36450,180.00
2004,Sydney,United Airlines,60,59,20820,20473,119.00
2004,Sydney,Vietnam Airlines,17,17,5746,5746,34.00
2004,Sydney,Virgin Australia,60,60,10800,10800,120.00
2004,Adelaide,Air Paradise International,9,9,1620,1620,18.00
2004,Adelaide,Cathay Pacific Airways,9,9,2259,2259,18.00
2004,Adelaide,Garuda Indonesia,9,9,2637,2637,18.00
2004,Adelaide,Malaysia Airlines,18,17,5015,4740,35.00
2004,Adelaide,Qantas Airways,22,22,5302,5227,44.00
2004,Adelaide,Singapore Airlines,18,18,5814,5814,36.00
2004,Brisbane,Air Caledonie,9,9,1314,1314,18.00
2004,Brisbane,Air New Zealand,57,57,15841,15852,114.00
2004,Brisbane,Air Niugini,26,26,5847,5847,52.00
2004,Brisbane,Fiji Airways,31,31,5056,5056,62.00
2004,Brisbane,Air Paradise International,9,9,1920,1920,18.00
2004,Brisbane,Air Vanuatu,18,18,2308,2268,36.00
2004,Brisbane,Cathay Pacific Airways,31,31,9641,9641,62.00
2004,Brisbane,China Airlines,13,13,3555,3555,26.00
2004,Brisbane,Emirates,62,62,23560,23560,124.00
2004,Brisbane,Eva Air,16,16,4032,4032,32.00
2004,Brisbane,Freedom Air International,131,130,17959,18269,261.00
2004,Brisbane,Garuda Indonesia,22,22,7118,7118,44.00
2004,Brisbane,Japan Airlines,62,70,27457,30892,132.00
2004,Brisbane,Korean Air,13,13,3744,3744,26.00
2004,Brisbane,Malaysia Airlines,27,27,8194,8176,54.00
2004,Brisbane,Nauru Airlines,9,9,1224,1016,18.00
2004,Brisbane,Qantas Airways,158,159,48249,48923,317.00
2004,Brisbane,Royal Brunei Airlines,25,26,5358,5556,51.00
2004,Brisbane,Singapore Airlines,85,85,27455,27455,170.00
2004,Brisbane,Solomon Airlines,13,18,1768,2448,31.00
2004,Brisbane,Thai Airways International,33,33,12765,12765,66.00
2004,Brisbane,Virgin Australia,59,59,10620,10620,118.00
2004,Cairns,Air New Zealand,13,13,1898,1898,26.00
2004,Cairns,Air Niugini,38,38,3686,3686,76.00
2004,Cairns,Australian Airlines,110,111,29684,29999,221.00
2004,Cairns,Cathay Pacific Airways,18,18,5598,5598,36.00
2004,Cairns,Continental Micronesia,13,13,2002,2002,26.00
2004,Cairns,Qantas Airways,63,62,14401,14126,125.00
2004,Darwin,Australian Airlines,5,5,1349,1347,10.00
2004,Darwin,Garuda Indonesia,9,9,1206,1206,18.00
2004,Darwin,Merpati Nusantara Airlines,9,9,252,252,18.00
2004,Darwin,Qantas Airways,23,37,5341,8261,60.00
2004,Darwin,Royal Brunei Airlines,13,13,1696,1696,26.00
2004,Gold Coast,Australian Airlines,31,27,8352,7305,58.00
2004,Gold Coast,Freedom Air International,46,46,6438,6497,92.00
2004,Gold Coast,Virgin Australia,8,8,1440,1440,16.00
2004,Melbourne,Air China,17,17,5117,5117,34.00
2004,Melbourne,Air Mauritius,7,7,2058,2058,14.00
2004,Melbourne,Air New Zealand,172,173,30863,31041,345.00
2004,Melbourne,Fiji Airways,18,18,5061,5061,36.00
2004,Melbourne,Air Paradise International,19,19,5153,5153,38.00
2004,Melbourne,Australian Airlines,10,9,2702,2425,19.00
2004,Melbourne,British Airways,31,31,10881,10881,62.00
2004,Melbourne,Cathay Pacific Airways,62,62,19654,19654,124.00
2004,Melbourne,China Eastern Airlines,22,22,6314,6314,44.00
2004,Melbourne,China Southern Airlines,9,9,2565,2565,18.00
2004,Melbourne,Emirates,124,124,38940,38940,248.00
2004,Melbourne,Freedom Air International,40,39,5360,5526,79.00
2004,Melbourne,Garuda Indonesia,13,13,3809,3809,26.00
2004,Melbourne,Lauda Air,11,11,3784,3784,22.00
2004,Melbourne,Malaysia Airlines,62,62,20596,20595,124.00
2004,Melbourne,Nauru Airlines,5,4,680,440,9.00
2004,Melbourne,Philippine Airlines,13,13,3926,3926,26.00
2004,Melbourne,Qantas Airways,314,286,84026,73533,600.00
2004,Melbourne,Singapore Airlines,84,84,28253,28253,168.00
2004,Melbourne,Thai Airways International,49,49,17685,17685,98.00
2004,Melbourne,United Airlines,31,31,10757,10757,62.00
2004,Melbourne,Vietnam Airlines,14,14,4732,4732,28.00
2004,Melbourne,Virgin Australia,37,38,6660,6840,75.00
2004,Norfolk Island,Air New Zealand,9,9,1224,1224,18.00
2004,Norfolk Island,Norfolk Jet Express,8,8,608,608,16.00
2004,Perth,Air Mauritius,5,4,875,700,9.00
2004,Perth,Air New Zealand,31,29,7130,6686,60.00
2004,Perth,Air Paradise International,26,26,4905,4905,52.00
2004,Perth,Australian Airlines,7,7,1872,1872,14.00
2004,Perth,Cathay Pacific Airways,13,13,4043,4043,26.00
2004,Perth,Emirates,31,31,8184,8184,62.00
2004,Perth,Garuda Indonesia,40,40,5320,5320,80.00
2004,Perth,Malaysia Airlines,40,40,14612,14636,80.00
2004,Perth,Qantas Airways,111,113,30085,30948,224.00
2004,Perth,Royal Brunei Airlines,14,13,2724,2526,27.00
2004,Perth,Singapore Airlines,75,75,24243,24243,150.00
2004,Perth,South African Airways,24,25,5664,5900,49.00
2004,Perth,Thai Airways International,18,18,5490,5490,36.00
2004,Perth,Valuair,31,31,4938,4938,62.00
2004,Sydney,Aerolineas Argentinas,12,12,2964,2964,24.00
2004,Sydney,Air Caledonie,19,19,3774,3774,38.00
2004,Sydney,Air Canada,53,51,13377,12919,104.00
2004,Sydney,Air China,31,31,9331,9331,62.00
2004,Sydney,Air Mauritius,7,7,2058,2058,14.00
2004,Sydney,Air New Zealand,274,272,44487,44253,546.00
2004,Sydney,Air Niugini,8,7,1840,1610,15.00
2004,Sydney,Fiji Airways,41,41,15528,15528,82.00
2004,Sydney,Air Paradise International,19,19,5153,5153,38.00
2004,Sydney,Air Vanuatu,26,27,3276,3402,53.00
2004,Sydney,Asiana Airlines,31,31,9610,9610,62.00
2004,Sydney,Australian Airlines,39,39,10515,10461,78.00
2004,Sydney,British Airways,62,62,23262,23262,124.00
2004,Sydney,Cathay Pacific Airways,93,93,23307,23307,186.00
2004,Sydney,China Airlines,22,22,5830,5830,44.00
2004,Sydney,China Eastern Airlines,31,31,8897,8897,62.00
2004,Sydney,China Southern Airlines,29,29,8349,8349,58.00
2004,Sydney,Emirates,62,62,15996,15996,124.00
2004,Sydney,Eva Air,13,13,3240,3240,26.00
2004,Sydney,Freedom Air International,39,39,5315,5532,78.00
2004,Sydney,Garuda Indonesia,17,17,4981,4981,34.00
2004,Sydney,Gulf Air,31,31,8215,8215,62.00
2004,Sydney,Hawaiian Airlines,18,18,4752,4752,36.00
2004,Sydney,Japan Airlines,70,70,31595,31491,140.00
2004,Sydney,Korean Air,31,31,11873,11873,62.00
2004,Sydney,LATAM Airlines,17,17,4403,4403,34.00
2004,Sydney,Lauda Air,27,27,9288,9288,54.00
2004,Sydney,Malaysia Airlines,62,62,20639,20628,124.00
2004,Sydney,Philippine Airlines,13,13,3926,3926,26.00
2004,Sydney,Polynesian Airlines,9,10,1472,1626,19.00
2004,Sydney,Qantas Airways,769,738,233143,222288,1507.00
2004,Sydney,Royal Brunei Airlines,14,14,2772,2772,28.00
2004,Sydney,Singapore Airlines,93,93,34875,34875,186.00
2004,Sydney,Thai Airways International,93,93,37665,37665,186.00
2004,Sydney,United Airlines,69,68,23943,23596,137.00
2004,Sydney,Vietnam Airlines,18,19,6084,6422,37.00
2004,Sydney,Virgin Atlantic Airways,24,24,7464,7464,48.00
2004,Sydney,Virgin Australia,54,54,9720,9720,108.00
2005,Adelaide,Air Paradise International,9,9,1620,1620,18.00
2005,Adelaide,Cathay Pacific Airways,9,9,2259,2259,18.00
2005,Adelaide,Garuda Indonesia,8,8,2344,2344,16.00
2005,Adelaide,Malaysia Airlines,17,18,4689,4962,35.00
2005,Adelaide,Qantas Airways,29,27,6985,6177,56.00
2005,Adelaide,Singapore Airlines,18,18,5814,5814,36.00
2005,Brisbane,Air Caledonie,9,9,1314,1314,18.00
2005,Brisbane,Air New Zealand,62,61,16490,16357,123.00
2005,Brisbane,Air Niugini,28,28,5908,5908,56.00
2005,Brisbane,Fiji Airways,31,31,5185,5185,62.00
2005,Brisbane,Air Paradise International,9,9,1998,1998,18.00
2005,Brisbane,Air Vanuatu,13,13,1686,1638,26.00
2005,Brisbane,Cathay Pacific Airways,31,31,9641,9641,62.00
2005,Brisbane,China Airlines,12,12,3312,3312,24.00
2005,Brisbane,Emirates,62,62,23560,23560,124.00
2005,Brisbane,Eva Air,17,17,4284,4284,34.00
2005,Brisbane,Freedom Air International,128,127,17475,17896,255.00
2005,Brisbane,Garuda Indonesia,25,25,7325,7325,50.00
2005,Brisbane,Japan Airlines,62,69,27859,30447,131.00
2005,Brisbane,Korean Air,13,13,3744,3744,26.00
2005,Brisbane,Malaysia Airlines,26,26,7174,7178,52.00
2005,Brisbane,Nauru Airlines,9,9,1224,990,18.00
2005,Brisbane,Qantas Airways,145,146,39885,40115,291.00
2005,Brisbane,Royal Brunei Airlines,25,25,5205,5205,50.00
2005,Brisbane,Singapore Airlines,85,85,27455,27455,170.00
2005,Brisbane,Solomon Airlines,9,10,1080,1248,19.00
2005,Brisbane,Thai Airways International,26,26,10406,10406,52.00
2005,Brisbane,Virgin Australia,56,56,10080,10080,112.00
2005,Cairns,Air New Zealand,12,12,1920,1920,24.00
2005,Cairns,Air Niugini,38,38,3686,3686,76.00
2005,Cairns,Australian Airlines,114,114,30763,30782,228.00
2005,Cairns,Cathay Pacific Airways,17,17,5287,5287,34.00
2005,Cairns,Continental Micronesia,13,13,2002,2002,26.00
2005,Cairns,Qantas Airways,62,62,14196,14196,124.00
2005,Darwin,Australian Airlines,6,5,1591,1339,11.00
2005,Darwin,Garuda Indonesia,6,6,792,792,12.00
2005,Darwin,Merpati Nusantara Airlines,9,9,270,270,18.00
2005,Darwin,Qantas Airways,21,21,5131,4978,42.00
2005,Darwin,Royal Brunei Airlines,13,13,1674,1674,26.00
2005,Gold Coast,Australian Airlines,31,31,8397,8397,62.00
2005,Gold Coast,Freedom Air International,70,69,9694,9630,139.00
2005,Gold Coast,Virgin Australia,9,9,1620,1620,18.00
2005,Melbourne,Air China,15,15,4816,4816,30.00
2005,Melbourne,Air Mauritius,4,5,1176,1470,9.00
2005,Melbourne,Air New Zealand,166,164,30326,30081,330.00
2005,Melbourne,Fiji Airways,18,18,5061,5061,36.00
2005,Melbourne,Air Paradise International,15,15,4100,4100,30.00
2005,Melbourne,Australian Airlines,8,9,2128,2439,17.00
2005,Melbourne,British Airways,31,31,10881,10881,62.00
2005,Melbourne,Cathay Pacific Airways,62,62,19118,19118,124.00
2005,Melbourne,China Eastern Airlines,17,17,4879,4879,34.00
2005,Melbourne,China Southern Airlines,9,9,2740,2740,18.00
2005,Melbourne,Emirates,124,124,38478,38478,248.00
2005,Melbourne,Freedom Air International,31,31,4171,4402,62.00
2005,Melbourne,Garuda Indonesia,12,12,3516,3516,24.00
2005,Melbourne,Lauda Air,14,14,3430,3430,28.00
2005,Melbourne,Malaysia Airlines,62,62,20061,20116,124.00
2005,Melbourne,Philippine Airlines,13,13,3926,3926,26.00
2005,Melbourne,Qantas Airways,293,268,77251,67794,561.00
2005,Melbourne,Singapore Airlines,85,85,28549,28549,170.00
2005,Melbourne,Thai Airways International,53,53,18825,18825,106.00
