Year,Australian,Airline,InFlights,OutFlights,InSeats,OutSeats,Total Flights
2017,Melbourne,Scoot,22,22,7370,7370,44.00
2017,Melbourne,Sichuan Airlines,13,13,3417,3417,26.00
2017,Melbourne,Singapore Airlines,120,120,37403,37403,240.00
2017,Melbourne,Thai Airways International,60,60,18944,18944,120.00
2017,Melbourne,United Airlines,30,29,7560,7308,59.00
2017,Melbourne,Vietnam Airlines,30,30,9330,9330,60.00
2017,Melbourne,Virgin Australia,107,108,21899,22081,215.00
2017,Melbourne,Xiamen Airlines,9,8,2115,1880,17.00
2017,Norfolk Island,Air New Zealand,5,5,824,819,10.00
2017,Perth,Air Mauritius,9,9,2500,2500,18.00
2017,Perth,Air New Zealand,50,49,15103,14798,99.00
2017,Perth,AirAsia X,60,60,22620,22620,120.00
2017,Perth,Cathay Pacific Airways,43,43,10793,10793,86.00
2017,Perth,China Southern Airlines,17,17,3706,3706,34.00
2017,Perth,Emirates,60,60,25302,25302,120.00
2017,Perth,Etihad Airways,30,30,8970,8970,60.00
2017,Perth,Garuda Indonesia,43,43,8495,8495,86.00
2017,Perth,Indonesia AirAsia,90,90,16200,16200,180.00
2017,Perth,Jetstar,90,90,16200,16200,180.00
2017,Perth,Jetstar Asia,53,53,9540,9540,106.00
2017,Perth,Malaysia Airlines,35,35,9435,9435,70.00
2017,Perth,Malindo Air,50,50,8226,8208,100.00
2017,Perth,Qantas Airways,38,37,7249,6988,75.00
2017,Perth,Qatar Airways,30,30,10740,10740,60.00
2017,Perth,Scoot,30,30,10730,10730,60.00
2017,Perth,Singapore Airlines,120,120,33191,33191,240.00
2017,Perth,South African Airways,30,30,8288,8222,60.00
2017,Perth,Thai Airways International,30,30,7920,7920,60.00
2017,Port Hedland,Virgin Australia,5,5,880,880,10.00
2017,Sydney,Air Caledonie,12,12,2514,2524,24.00
2017,Sydney,Air Canada,30,30,9150,9138,60.00
2017,Sydney,Air China,54,54,14505,14505,108.00
2017,Sydney,Air India,17,17,4352,4352,34.00
2017,Sydney,Air New Zealand,223,223,48900,49015,446.00
2017,Sydney,Air Niugini,13,13,1744,1744,26.00
2017,Sydney,Air Vanuatu,24,24,4080,4080,48.00
2017,Sydney,AirAsia X,60,60,22620,22620,120.00
2017,Sydney,All Nippon Airways,30,30,6450,6450,60.00
2017,Sydney,American Airlines,28,28,8680,8680,56.00
2017,Sydney,Asiana Airlines,30,30,9090,9090,60.00
2017,Sydney,British Airways,30,30,8910,8910,60.00
2017,Sydney,Cathay Pacific Airways,120,120,35400,35400,240.00
2017,Sydney,Cebu Pacific Air,22,22,9592,9592,44.00
2017,Sydney,China Airlines,33,33,10012,10012,66.00
2017,Sydney,China Eastern Airlines,95,95,22754,22754,190.00
2017,Sydney,China Southern Airlines,73,73,20192,20192,146.00
2017,Sydney,Delta Air Lines,30,30,8730,8730,60.00
2017,Sydney,Emirates,150,150,74930,74930,300.00
2017,Sydney,Etihad Airways,60,60,24720,24720,120.00
2017,Sydney,Fiji Airways,76,75,15967,15797,151.00
2017,Sydney,Garuda Indonesia,47,47,12049,12049,94.00
2017,Sydney,Hainan Airlines,18,18,4500,4500,36.00
2017,Sydney,Hawaiian Airlines,30,30,8310,8310,60.00
2017,Sydney,Japan Airlines,30,30,5850,5850,60.00
2017,Sydney,Jetstar,178,179,43665,44000,357.00
2017,Sydney,Korean Air,30,30,8018,8018,60.00
2017,Sydney,LATAM Airlines,30,30,9000,9000,60.00
2017,Sydney,Malaysia Airlines,60,60,17280,17280,120.00
2017,Sydney,Philippine Airlines,31,30,8846,8484,61.00
2017,Sydney,Qantas Airways,771,769,208480,211395,1540.00
2017,Sydney,Qatar Airways,30,30,15510,15510,60.00
2017,Sydney,Scoot,30,30,10930,10930,60.00
